title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories,url,categoryName
Doña Cocina Tipo Casa,4.4,5546,Bulnes 802,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://www.instagram.com/donacocinatipocasa/?hl=es-la,+54 48629278,['Restaurante'],https://www.google.com/maps/search/?api=1&query=Do%C3%B1a%20Cocina%20Tipo%20Casa&query_place_id=ChIJlTgSDmLKvJURVRyO_6BVOko,Restaurante
Hormiga Negra Almagro,4.8,2843,Lavalle 3565,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,http://chn.com.ar/,+54 11 3504-2180,['Cervecería artesanal'],https://www.google.com/maps/search/?api=1&query=Hormiga%20Negra%20Almagro&query_place_id=ChIJm1BMEQDLvJURbw8by6M1BXk,Cervecería artesanal
Ay Cariño,4.5,1103,Lavalle 3502,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://www.instagram.com/direct/requests/?hl=es,\N,['Restaurante'],https://www.google.com/maps/search/?api=1&query=Ay%20Cari%C3%B1o&query_place_id=ChIJlwXHjIPLvJURn3KjnBfUgtY,Restaurante
Grau Cebichería Abasto | Restaurante Peruano Buenos Aires,4.6,329,Guardia Vieja 3372,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://menu.fu.do/graucevicheria/qr-menu,+54 11 3460-3372,['Restaurante peruano'],https://www.google.com/maps/search/?api=1&query=Grau%20Cebicher%C3%ADa%20Abasto%20%7C%20Restaurante%20Peruano%20Buenos%20Aires&query_place_id=ChIJT1ZYExfLvJURl74qhY8OQLI,Restaurante peruano
Buen Gusto,4.8,56,Tucumán 3445,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://eshop.xgd.com/h5/?shopId=990100058600001,\N,['Restaurante asiático'],https://www.google.com/maps/search/?api=1&query=Buen%20Gusto&query_place_id=ChIJNzj-BgDLvJURaIUaUiCtgcc,Restaurante asiático
Panchería Poroto,4.8,68,Guardia Vieja 3796,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,\N,\N,['Chiringuito'],https://www.google.com/maps/search/?api=1&query=Pancher%C3%ADa%20Poroto&query_place_id=ChIJv0AfpAnLvJUR7TWdGXw0rYI,Chiringuito
Guarda La Vieja,4.3,7175,Billinghurst 699,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://instagram.com/guarda.lavieja,+54 11 4863-7923,"['Restaurante','Cervecería artesanal']",https://www.google.com/maps/search/?api=1&query=Guarda%20La%20Vieja&query_place_id=ChIJSQFMj4nKvJURMTjjJunau9c,Restaurante
Cantina Pierino,4.3,5694,Lavalle 3499,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://www.instagram.com/cantinapierino,+54 11 3483-5164,['Restaurante italiano'],https://www.google.com/maps/search/?api=1&query=Cantina%20Pierino&query_place_id=ChIJWebcoonKvJURwr_6wmdgJI0,Restaurante italiano
Rasenna Focaccia,4.6,63,Guardia Vieja 3723,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://www.instagram.com/rasenna.focaccia,\N,['Restaurante'],https://www.google.com/maps/search/?api=1&query=Rasenna%20Focaccia&query_place_id=ChIJD_aetIfLvJURSaV92fSU1T8,Restaurante
BBQ XI WEI LAI喜味来,4.8,16,Tucumán 3445,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,\N,+54 9 11 3229-6841,['Restaurante asiático'],https://www.google.com/maps/search/?api=1&query=BBQ%20XI%20WEI%20LAI%E5%96%9C%E5%91%B3%E6%9D%A5&query_place_id=ChIJW-WRLBzLvJURZxhGFAXCl0A,Restaurante asiático
